Linea;Línea Unificada;Canal de distribución;Anio;Mes;Fecha;Fac Impo Bruto;Costo Total Com;Fac Kilos;Comercial Kilos;Rendimiento;Precio
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;2/10/2018;5664314;94844;64795;52894;5569470;87
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;3/10/2018;2231893;9287515;27210;191895;-7055622;82
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;4/10/2018;2217278;2902212;25565;-210308;-684934;87
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;5/10/2018;8313569;281169;94670;6065;8032400;88
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;6/10/2018;1144658;183542;12880;4645;961116;89
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;8/10/2018;6172234;125262;72163;5945;6046972;86
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;9/10/2018;3299537;195143;39365;450;3104394;84
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;10/10/2018;1920575;5703;22514;-1309;1914872;85
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;11/10/2018;4475504;245762;53579;35390;4229742;84
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;12/10/2018;4662372;606950;56794;15750;4055422;82
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;15/10/2018;0;983552;0;25040;-983552;0
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;16/10/2018;1069473;420716;12613;9940;648757;85
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;17/10/2018;283438;295442;3334;7761;-12004;85
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;18/10/2018;73654;927846;875;9168;-854192;84
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;19/10/2018;5997119;0;70893;-1180;5997119;85
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;22/10/2018;2129900;2432624;25975;60935;-302724;82
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;23/10/2018;1271322;287939;14980;7180;983383;85
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;24/10/2018;1289068;159345;14740;4481;1129723;87
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;25/10/2018;45570;83398;520;2190;-37828;88
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;26/10/2018;6115775;191613;71870;-9390;5924162;85
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;29/10/2018;383889;1896286;4465;168875;-1512397;86
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;30/10/2018;164965;4749130;2080;139565;-4584165;79
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Octubre;31/10/2018;1074793;5590525;12425;163624;-4515732;87
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Noviembre;1/11/2018;4946551;105218;57565;-866;4841333;86
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Noviembre;2/11/2018;748624;891709;8650;20790;-143085;87
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Noviembre;5/11/2018;523119;401790;6080;21823;121329;86
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Noviembre;6/11/2018;6608790;273531;76245;6455;6335259;87
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Noviembre;7/11/2018;3873083;48963;44305;1155;3824120;87
YERBA MATE BCP;Yerba Mate;Cadenas de Supermercados;2018;Noviembre;8/11/2018;570438;2110203;6655;17895;-1539765;86
